,categoria,item,precio
170,comics-historietas,"Cómic, Marvel, Excelsior Infinito. Ovni Press",890.0
171,comics-historietas,Combo: Con Eso No Se Jode + Fumanyi - Hay Stock Siempre,680.0
172,comics-historietas,Avengers Clarín Cómics Marvel Tomo A Elección,249.0
173,comics-historietas,"Cómic, Marvel, Excelsior La Guerra Del Infinito. Ovni Press",640.0
174,comics-historietas,V De Vendetta Alan Moore Libro Tapa Blanda Comic Español,630.0
175,comics-historietas,Halcon Milenario Para Armar. Fasciculos Consultar Stock,625.0
176,comics-historietas,"Cómic, Marvel, Excelsior Capitana Marvel Ovni Press",550.0
177,comics-historietas,Teen Titans Go Jovenes Titanes Set X 5 Muñecos Robin 2019,839.99
178,comics-historietas,Escenas Del Delito Americano - Tapa Dura - Indio Solari,679.0
179,comics-historietas,Colección Asterix Numeros Sueltos. 6 Cuotas Sin Interes!,490.0
180,comics-historietas,Sagas Dc Inframundo Desencadenado Dc Un Millon Nº06,700.0
181,comics-historietas,"Colección Patoruzú 1, 2 Y 3",2690.0
182,comics-historietas,Spiderman Colección Definitiva - N° 1 - Entre Los Muertos,299.0
183,comics-historietas,Coleccion De Novelas Graficas Dc - Salvat,600.0
184,comics-historietas,"Cómic, Marvel, Excelsior: Invasión Secreta. Ovni Press",600.0
185,comics-historietas,Colección Definitiva De Novelas Gráficas Marvel - Nacion,360.0
186,comics-historietas,El Eternauta - Oesterheld Solano Lopez Libro Original Nuevo,350.0
187,comics-historietas,El Eternauta - Hector G. Oesterheld / Solano Lopez,320.0
188,comics-historietas,Toda Mafalda - Quino ,1549.99
189,comics-historietas,"Cómic, Millarword, Pack Kick Ass. Ovni Press",2024.0
190,comics-historietas,Hdp Juego De Cartas - Humor Negro - Bureau De Juegos,999.0
191,comics-historietas,"Sandman Tomos 1 2 3 4 5 6, Neil Gaiman, Consultar Stock",850.0
192,comics-historietas,Novelas Gráficas Marvel  Editorial Salvat. + Extension,645.0
193,comics-historietas,"Cómic, Marvel Imprescindible #04 Dinastía M. Ovni Press",600.0
